Genome length,Divisions,Fitness
5000000,5,0.9946673669533724
5000000,10,0.6485420154432617
5000000,15,0.9740773123285447
5000000,20,0.6573372873702747
5000000,25,0.9380440500675744
5000000,30,0.6058376555370107
5000000,35,0.9084671930486197
5000000,40,0.6127938100301585
5000000,45,0.7872564606447757
5000000,50,0.6107515786736815
5000000,55,0.7915130405182694
5000000,60,0.5487487398937105
5000000,65,0.7029189765044801
5000000,70,0.5138244514503075
5000000,75,0.659278040243135
5000000,80,0.48221771552907
5000000,85,0.6440573202505504
5000000,90,0.3755140768856189
5000000,95,0.5638507791146314
5000000,100,0.34949126642104356
5000000,105,0.5390999119626562
5000000,110,0.3383699127444069
5000000,115,0.50399150249234
5000000,120,0.3234413446613574
5000000,125,0.49138481535018985
5000000,130,0.32045827159802753
5000000,135,0.4264219632096961
5000000,140,0.3014109456896319
5000000,145,0.41701585152078496
5000000,150,0.2926525281393495
5000000,155,0.40363627959943055
5000000,160,0.28021794739442174
5000000,165,0.3784019091779989
5000000,170,0.26693933654438756
5000000,175,0.37710024796388336
5000000,180,0.26909167210545865
5000000,185,0.35606065496400613
5000000,190,0.26740487473532776
5000000,195,0.32790123580192737
5000000,200,0.2405224471591323
5000000,205,0.3141801130886496
5000000,210,0.24893019231767263
5000000,215,0.2965695035954591
5000000,220,0.24004330522102693
5000000,225,0.29729017104245054
5000000,230,0.23030181394078145
5000000,235,0.28663022414854283
5000000,240,0.22588352366520548
5000000,245,0.2703639076483456
5000000,250,0.21295002837447563
5000000,255,0.2578744267840552
5000000,260,0.21044639107504529
5000000,265,0.25399806988363244
5000000,270,0.2103051551428789
5000000,275,0.23751913192890206
5000000,280,0.20281021340342448
5000000,285,0.23282091572119268
5000000,290,0.19915455866104315
5000000,295,0.23577456164145977
5000000,300,0.18781501958125504
5000000,305,0.21671805517585982
5000000,310,0.18818210453972217
5000000,315,0.2167476615317516
5000000,320,0.1906557454177566
5000000,325,0.21568573896402773
5000000,330,0.18644918391548065
5000000,335,0.2071300644807123
5000000,340,0.1797857591873817
5000000,345,0.1988633646045379
5000000,350,0.1755100884898198
5000000,355,0.19333240871879476
